timestep,episodes,steps_per_second,expl_loss,avg_return,std_return,avg_aug_return,std_aug_return,avg_bonus,std_bonus,avg_episode_length,std_episode_length
60000,21732,1461.2807821361791,0.0932446,25.806762866973877,8.982864060680695,579.2592806434632,266.8924658477378,56.63621471405029,20.829675470051075,71.44,25.70382072766615
61000,21894,1328.0018693263619,0.06377163,27.151341848373413,12.088825082444584,651.9541682815552,360.61037821873623,59.92997699737549,26.04127217601307,75.55,35.88882137936547
62000,22049,1198.6660733785386,0.09819372,28.573864459991455,9.386383670601438,637.4579608154297,265.4468593292766,61.29196842193603,19.093377547228112,77.49,26.010957306489125
63000,22206,1355.7880908758261,0.08004561,28.455237846374512,14.235505284857458,631.4569232368469,407.63457471134274,62.334531459808346,28.87252300354782,78.34,40.01380261859649
64000,22353,1054.438148888747,0.084937714,29.450413045883177,10.943821363415438,696.0709591197967,332.91059799679454,65.06724746704101,22.87558961141149,82.11,32.249618602395905
65000,22496,1129.4192663776812,0.06989432,30.671928701400756,11.961007263597697,710.136561126709,366.3273741124712,67.15548593521117,25.841159252626248,85.62,34.71131803893364
66000,22644,1209.5613595937737,0.0820613,29.941302165985107,12.701892043844559,703.1722186279297,385.86314939577954,66.51652284622192,26.755761841975517,83.48,35.91002088554112
67000,22780,1430.3163484494605,0.074134804,30.941957702636717,11.855034434190888,730.7439436340333,351.31821772803113,68.10147645950317,24.637126828800756,85.33,32.89773700423785
68000,22910,1102.739533344148,0.05928647,32.46169082641602,12.408768485077598,754.3050296020508,351.5975081188489,71.07168426513672,25.67818949051116,89.73,34.84360917011898
69000,23054,1142.7995360472082,0.0721546,30.72974377632141,11.78865092923909,696.6250736999511,309.1407537961113,65.58151874542236,24.423556349006677,82.31,32.11750145948467
70000,23186,1055.716603174723,0.09442728,32.323288164138795,13.772479893749619,795.554177646637,439.4625403889209,72.75341676712036,29.828464646741676,91.51,38.351660980979695
71000,23322,1274.6099031287672,0.081109054,32.131141901016235,13.108263960760473,765.4370768737793,394.2026270789726,72.22838300704956,27.86251759611724,90.7,38.185468440232604
72000,23457,1397.5041332337314,0.13680874,32.33687714576721,11.905072804769805,770.0474436569214,368.2931612770517,72.26234348297119,26.252134902932546,90.78,35.17259728822994
73000,23588,1188.0918429838262,0.06809974,31.968653087615966,13.244599559898356,778.0117941284179,427.4701528778112,71.55723636627198,29.532347308287243,89.22,38.364457509523056
74000,23718,1039.3375880145359,0.094614245,32.97879932403564,14.26162896662392,771.025178527832,408.8548345251652,73.07418079376221,30.69730356387495,92.04,40.16613498956553
75000,23851,1135.6917943956562,0.07058163,31.69745334625244,10.17753134287793,736.2464266967773,349.240498968114,69.45665718078614,21.583931084792237,87.79,29.769210604246798
76000,23971,1161.4597222279913,0.064383514,36.241166830062866,15.567088703059376,865.1489627075196,520.8423691086792,80.26950996398926,33.17025784550693,100.54,43.214446658496044
77000,24101,1327.0170129980659,0.07964575,33.845924367904665,13.006089787827104,740.9666848754882,378.05582663284855,73.28406074523926,27.09029262428819,92.21,36.75793655797344
78000,24220,1086.1615337125904,0.06590197,36.78855560302734,15.58855127453074,857.2698175621033,501.87331733230263,79.77805366516114,32.78795493741594,101.23,44.56699563578411
79000,24344,1562.0603997601588,0.07044899,35.756251420974735,15.03137606601336,827.8186096191406,453.8724535947456,77.83800262451172,29.558040521873544,97.84,41.713719565629724
80000,24474,1164.9323560535152,0.060716067,33.526014442443845,13.01270285203403,832.5017105102539,439.24393847008866,74.67860103607178,29.82078423994868,92.72,37.112283680743765
81000,24602,0.18940376289359936,0.11713426,33.23855833053589,11.464681459732665,770.5485360717773,398.6627115046984,73.84034381866455,24.702115318561333,93.25,34.50402150474637
82000,24725,1487.8304010465847,0.063039295,36.432865867614744,19.13937511031511,831.0215844345092,632.5875259667955,78.79879905700683,37.557485151841,99.06,50.93030924704856
83000,24854,1113.474883590046,0.112050004,32.797647876739504,11.602896857384772,807.9441137695312,394.5267001849872,73.62703502655029,23.5781924815937,91.06,33.36070143147473
84000,24977,1197.923863375747,0.09544199,35.450493240356444,12.222796874191515,892.4420672607422,416.4328755908454,80.34226680755616,27.254239587053092,100.56,36.99522131302907
85000,25091,1147.1688535324167,0.0973121,38.22925588607788,17.02122932529957,949.1000489807129,583.1263816066682,85.18252029418946,33.611032079143314,106.49,49.63758555772027
86000,25201,935.2753421401313,0.08608133,39.10961365699768,18.210177665143128,965.2414480400085,654.6551508426071,87.8540124130249,36.2959897748047,109.63,53.43194830810495
87000,25314,1139.9052050267426,0.118089825,37.288701696395876,17.205672384016143,984.5006335449219,612.0405179709456,86.42195520401,37.35221112134612,106.89,50.820644427240396
88000,25427,1302.5339809714635,0.09105454,36.92383529663086,14.213198574764453,968.5238925170898,536.2512609870317,85.44597743988037,31.02435792646994,105.82,43.699057198067784
89000,25545,1264.6137629693415,0.063811295,34.15531460762024,13.614191763264701,838.9675193786621,483.147255378394,78.30681980133056,26.824929309122435,96.94,41.581442976404745
90000,25657,1198.6684713026302,0.07557479,37.682726020812986,17.270063130067008,946.0849214172363,607.6141569738476,85.20370422363281,33.332608458450096,104.98,49.04732000833481
91000,25762,1043.1293003581798,0.07451171,40.30988547325134,16.197634916890962,1078.8215240478517,649.947044955703,93.07573108673095,36.60959903076326,114.26,49.1824399557403
92000,25867,1148.8389049625202,0.075620346,40.38226686477661,18.330949928306588,1089.12123626709,670.7235719804693,94.15129276275634,38.84947538127262,115.22,54.74935250758679
93000,25965,941.8267644891926,0.065442346,42.96675497055054,19.854171689997955,1183.939709777832,723.589251923548,99.98428058624268,38.67497867487446,122.62,59.17833725274816
94000,26072,1253.542779949551,0.06664522,39.166121044158935,16.61471711945153,1068.6793876647948,629.7619587793192,91.24055698394776,36.49059805791805,112.51,50.4760329265286
95000,26166,1060.5233255236872,0.07222411,45.56903134346008,22.73569359574548,1273.6468784332276,795.8008717250807,105.69867408752441,43.013742498114574,129.57,63.87538727866939
